,date,desc,amount,category
401,2023-03-25,BLACK WALNUT BAKERY CA   LONDON       ON  (APPLE PAY) ,-14.13,Dining Out
402,2023-03-25,URBAN OUTFITTERS         LONDON       ON  (APPLE PAY) ,-89.27,Purchases
404,2023-03-26,CHATIME LONDON           LONDON       ON  (APPLE PAY) ,-7.01,Dining Out
405,2023-03-26,SPAGEDDY EDDY'S          LONDON       ON  (APPLE PAY) ,-29.88,Dining Out
406,2023-03-28,IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ,-6.73,Dining Out
407,2023-03-29,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-4.19,Dining Out
408,2023-03-29,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-8.98,Dining Out
409,2023-03-30,LUCY'S                   LONDON       ON  (APPLE PAY) ,-57.34,Dining Out
410,2023-03-30,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-5.97,Dining Out
411,2023-03-30,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-8.98,Dining Out
412,2023-03-31,CHATIME CF MASONVILLE    LONDON       ON  (APPLE PAY) ,-6.78,Dining Out
413,2023-03-31,MACS SUSHI               LONDON       ON  (APPLE PAY) ,-16.93,Dining Out
414,2022-09-01,WITHDRAWAL             FREE INTERAC E-TRANSFER,-60.0,Shared Purchases
415,2022-09-03,DEPOSIT                FREE INTERAC E-TRANSFER,39.44,Shared Purchases
416,2022-09-03,WITHDRAWAL             FREE INTERAC E-TRANSFER,-130.0,Shared Purchases
417,2022-09-06,WITHDRAWAL             FREE INTERAC E-TRANSFER,-15.5,Shared Purchases
419,2022-09-08,Customer Transfer Dr.  PC TO 800020489786,-1500.75,Non-Routine
420,2022-09-08,WITHDRAWAL             FREE INTERAC E-TRANSFER,-18.0,Shared Purchases
421,2022-09-08,DEPOSIT                FREE INTERAC E-TRANSFER,14.68,Shared Purchases
422,2022-09-09,Provincial Payment     CANADA                       ,60.58,Dining Out
423,2022-09-09,WITHDRAWAL             FREE INTERAC E-TRANSFER,-30.95,Shared Purchases
424,2022-09-12,WITHDRAWAL             FREE INTERAC E-TRANSFER,-5.0,Shared Purchases
426,2022-09-12,WITHDRAWAL             FREE INTERAC E-TRANSFER,-48.0,Shared Purchases
427,2022-09-14,WITHDRAWAL             FREE INTERAC E-TRANSFER,-12.5,Shared Purchases
428,2022-09-14,WITHDRAWAL             FREE INTERAC E-TRANSFER,-5.0,Shared Purchases
430,2022-09-19,Customer Transfer Cr.  MB-TRANSFER,132.0,Non-Routine
431,2022-09-19,DEPOSIT                FREE INTERAC E-TRANSFER,273.0,Shared Purchases
432,2022-09-19,WITHDRAWAL             FREE INTERAC E-TRANSFER,-20.0,Shared Purchases
434,2022-09-23,WITHDRAWAL             FREE INTERAC E-TRANSFER,-32.0,Shared Purchases
435,2022-09-26,WITHDRAWAL             FREE INTERAC E-TRANSFER,-9.3,Shared Purchases
437,2022-10-01,WITHDRAWAL             FREE INTERAC E-TRANSFER,-8.0,Shared Purchases
438,2022-10-01,DEPOSIT                FREE INTERAC E-TRANSFER,9.0,Shared Purchases
439,2022-10-01,DEPOSIT                FREE INTERAC E-TRANSFER,13.0,Shared Purchases
440,2022-10-03,WITHDRAWAL             FREE INTERAC E-TRANSFER,-5.0,Shared Purchases
442,2022-10-03,Student Loan           CANADA                       ,4225.0,Non-Routine
443,2022-10-03,Student Loan           CANADA                       ,970.0,Non-Routine
444,2022-10-03,WITHDRAWAL             FREE INTERAC E-TRANSFER,-53.24,Shared Purchases
445,2022-10-05,GST                    CANADA                       ,101.64,Non-Routine
446,2022-10-07,Provincial Payment     CANADA                       ,60.58,Dining Out
447,2022-10-08,POS Purchase           CHICAGO BUTCHER SHOPPE   TORON,-4.25,Dining Out
449,2022-10-11,WITHDRAWAL             FREE INTERAC E-TRANSFER,-40.7,Shared Purchases
450,2022-10-11,POS Purchase           ARIS PLACE               TORON,-10.45,Dining Out
451,2022-10-11,POS Purchase           ARIS PLACE               TORON,-16.57,Dining Out
452,2022-10-11,DEPOSIT                FREE INTERAC E-TRANSFER,14.4,Shared Purchases
453,2022-10-11,Investment             WEALTHSIMPLE PAYMENTS INC    ,20.4,Non-Routine
454,2022-10-12,Credit Memo            ADJUSTMENT OTHER,30.95,Non-Routine
455,2022-10-14,Climate Action IncentiveCANADA                       ,93.25,Non-Routine
457,2022-10-15,WITHDRAWAL             FREE INTERAC E-TRANSFER,-20.0,Shared Purchases
459,2022-10-19,Credit Memo            ADJUSTMENT OTHER,5.0,Non-Routine
460,2022-10-21,WITHDRAWAL             FREE INTERAC E-TRANSFER,-10.0,Shared Purchases
462,2022-10-22,WITHDRAWAL             FREE INTERAC E-TRANSFER,-9.0,Shared Purchases
463,2022-10-24,DEPOSIT                FREE INTERAC E-TRANSFER,14.0,Shared Purchases
464,2022-10-24,WITHDRAWAL             FREE INTERAC E-TRANSFER,-35.95,Shared Purchases
465,2022-10-24,ABM Withdrawal,-43.0,Non-Routine
466,2022-10-24,Service Charge         ,-2.0,Non-Routine
467,2022-10-25,DEPOSIT                FREE INTERAC E-TRANSFER,8.0,Shared Purchases
468,2022-10-25,DEPOSIT                FREE INTERAC E-TRANSFER,12.0,Shared Purchases
470,2022-10-28,Bill Payment           PC-WESTERN UNIV - TUITION & RESI,-5195.0,Non-Routine
471,2022-10-28,WITHDRAWAL             FREE INTERAC E-TRANSFER,-8.0,Shared Purchases
472,2022-10-28,WITHDRAWAL             FREE INTERAC E-TRANSFER,-10.0,Shared Purchases
475,2022-11-01,WITHDRAWAL             FREE INTERAC E-TRANSFER,-77.56,Shared Purchases
476,2022-11-02,ABM Withdrawal,-23.0,Non-Routine
477,2022-11-02,Service Charge         ,-2.0,Non-Routine
478,2022-11-02,WITHDRAWAL             FREE INTERAC E-TRANSFER,-6.75,Shared Purchases
479,2022-11-03,WITHDRAWAL             FREE INTERAC E-TRANSFER,-46.0,Shared Purchases
480,2022-11-04,GST                    CANADA                       ,203.28,Non-Routine
481,2022-11-04,WITHDRAWAL             FREE INTERAC E-TRANSFER,-10.2,Shared Purchases
482,2022-11-05,WITHDRAWAL             FREE INTERAC E-TRANSFER,-100.0,Shared Purchases
483,2022-11-10,Provincial Payment     CANADA                       ,60.58,Dining Out
484,2022-11-12,DEPOSIT                FREE INTERAC E-TRANSFER,5.33,Shared Purchases
485,2022-11-14,WITHDRAWAL             FREE INTERAC E-TRANSFER,-7.0,Shared Purchases
486,2022-11-14,WITHDRAWAL             FREE INTERAC E-TRANSFER,-10.0,Shared Purchases
487,2022-11-14,POS Purchase           OPOS CINEPLEX ENTERTAINMETORON,-54.72,Purchases
488,2022-11-14,Investment             WEALTHSIMPLE PAYMENTS INC    ,28.03,Non-Routine
489,2022-11-14,DEPOSIT                FREE INTERAC E-TRANSFER,20.0,Shared Purchases
490,2022-11-14,DEPOSIT                FREE INTERAC E-TRANSFER,2.66,Shared Purchases
491,2022-11-14,DEPOSIT                FREE INTERAC E-TRANSFER,26.0,Shared Purchases
492,2022-11-17,Credit Memo            ADJUSTMENT OTHER,40.7,Non-Routine
493,2022-11-18,WITHDRAWAL             FREE INTERAC E-TRANSFER,-41.0,Shared Purchases
494,2022-11-18,ABM Withdrawal,-23.99,Non-Routine
495,2022-11-18,Service Charge         ,-2.0,Non-Routine
496,2022-11-21,WITHDRAWAL             FREE INTERAC E-TRANSFER,-174.86,Shared Purchases
497,2022-11-21,WITHDRAWAL             FREE INTERAC E-TRANSFER,-20.8,Shared Purchases
498,2022-11-23,WITHDRAWAL             FREE INTERAC E-TRANSFER,-9.25,Shared Purchases
500,2022-11-26,DEPOSIT                FREE INTERAC E-TRANSFER,12.4,Shared Purchases
501,2022-11-29,WITHDRAWAL             FREE INTERAC E-TRANSFER,-5.66,Shared Purchases
502,2022-12-01,WITHDRAWAL             FREE INTERAC E-TRANSFER,-97.5,Shared Purchases
504,2022-12-02,WITHDRAWAL             FREE INTERAC E-TRANSFER,-3.5,Shared Purchases
505,2022-12-05,WITHDRAWAL             FREE INTERAC E-TRANSFER,-30.5,Shared Purchases
507,2022-12-05,DEPOSIT                FREE INTERAC E-TRANSFER,20.0,Shared Purchases
508,2022-12-06,WITHDRAWAL             FREE INTERAC E-TRANSFER,-50.0,Shared Purchases
509,2022-12-07,Credit Memo            ADJUSTMENT OTHER,10.2,Non-Routine
510,2022-12-09,Provincial Payment     CANADA                       ,60.58,Dining Out
511,2022-12-10,WITHDRAWAL             FREE INTERAC E-TRANSFER,-16.13,Shared Purchases
514,2022-12-15,WITHDRAWAL             FREE INTERAC E-TRANSFER,-20.0,Shared Purchases
515,2022-12-16,WITHDRAWAL             FREE INTERAC E-TRANSFER,-27.0,Shared Purchases
516,2022-12-16,Debit Memo             WIRE PAYMENT,-284.34,Dining Out
517,2022-12-16,Service Charge         SCOTIAWIRE/MTS FEE,-40.0,Dining Out
519,2022-12-20,DEPOSIT                FREE INTERAC E-TRANSFER,74.16,Shared Purchases
520,2022-12-23,DEPOSIT                FREE INTERAC E-TRANSFER,5.0,Shared Purchases
521,2022-12-23,DEPOSIT                FREE INTERAC E-TRANSFER,19.6,Shared Purchases
523,2022-12-28,DEPOSIT                FREE INTERAC E-TRANSFER,5.0,Shared Purchases
525,2022-12-28,Insurance              CANADA LIFE                  ,166.4,Medical
526,2022-12-28,Investment             Wealthsimple Investments Inc.,692.92,Non-Routine
527,2022-12-29,DEPOSIT                FREE INTERAC E-TRANSFER,27.54,Shared Purchases
528,2022-12-30,Investment             WEALTHSIMPLE PAYMENTS INC    ,12.97,Non-Routine
529,2023-01-03,Student Loan           CANADA                       ,2495.0,Non-Routine
530,2023-01-03,Student Loan           CANADA                       ,969.0,Non-Routine
531,2023-01-03,WITHDRAWAL             FREE INTERAC E-TRANSFER,-91.93,Shared Purchases
532,2023-01-04,WITHDRAWAL             FREE INTERAC E-TRANSFER,-13.0,Shared Purchases
533,2023-01-05,GST                    CANADA                       ,101.64,Non-Routine
534,2023-01-05,WITHDRAWAL             FREE INTERAC E-TRANSFER,-3.75,Shared Purchases
535,2023-01-09,WITHDRAWAL             FREE INTERAC E-TRANSFER,-13.0,Shared Purchases
536,2023-01-10,Provincial Payment     CANADA                       ,60.58,Dining Out
537,2023-01-13,Climate Action IncentiveCANADA                       ,93.25,Non-Routine
538,2023-01-13,POS Purchase           FPOS BOURBON ST GRILL    LONDO,-14.11,Dining Out
539,2023-01-14,WITHDRAWAL             FREE INTERAC E-TRANSFER,-12.14,Shared Purchases
541,2023-01-16,DEPOSIT                FREE INTERAC E-TRANSFER,23.8,Shared Purchases
543,2023-01-23,DEPOSIT                FREE INTERAC E-TRANSFER,21.0,Shared Purchases
545,2023-01-24,DEPOSIT                FREE INTERAC E-TRANSFER,21.0,Shared Purchases
546,2023-01-24,WITHDRAWAL             FREE INTERAC E-TRANSFER,-12.83,Shared Purchases
547,2023-01-24,DEPOSIT                FREE INTERAC E-TRANSFER,40.0,Shared Purchases
548,2023-01-24,DEPOSIT                FREE INTERAC E-TRANSFER,81.0,Shared Purchases
550,2023-01-25,DEPOSIT                FREE INTERAC E-TRANSFER,21.0,Shared Purchases
551,2023-01-26,WITHDRAWAL             FREE INTERAC E-TRANSFER,-17.5,Shared Purchases
555,2023-01-30,DEPOSIT                FREE INTERAC E-TRANSFER,60.0,Shared Purchases
556,2023-02-01,WITHDRAWAL             FREE INTERAC E-TRANSFER,-43.0,Shared Purchases
557,2023-02-01,WITHDRAWAL             FREE INTERAC E-TRANSFER,-22.8,Shared Purchases
558,2023-02-01,Debit Memo             WIRE PAYMENT,-60.64,Dining Out
559,2023-02-01,Service Charge         SCOTIAWIRE/MTS FEE,-40.0,Dining Out
561,2023-02-03,DEPOSIT                FREE INTERAC E-TRANSFER,8.0,Shared Purchases
562,2023-02-03,DEPOSIT                FREE INTERAC E-TRANSFER,4.5,Shared Purchases
563,2023-02-03,DEPOSIT                FREE INTERAC E-TRANSFER,4.0,Shared Purchases
564,2023-02-03,DEPOSIT                FREE INTERAC E-TRANSFER,8.0,Shared Purchases
565,2023-02-03,WITHDRAWAL             FREE INTERAC E-TRANSFER,-102.64,Shared Purchases
566,2023-02-04,DEPOSIT                FREE INTERAC E-TRANSFER,8.69,Shared Purchases
567,2023-02-06,DEPOSIT                FREE INTERAC E-TRANSFER,30.0,Shared Purchases
568,2023-02-06,WITHDRAWAL             FREE INTERAC E-TRANSFER,-2.5,Shared Purchases
569,2023-02-06,WITHDRAWAL             FREE INTERAC E-TRANSFER,-94.3,Shared Purchases
570,2023-02-07,Insurance              CANADA LIFE                  ,70.0,Medical
571,2023-02-08,WITHDRAWAL             FREE INTERAC E-TRANSFER,-135.15,Shared Purchases
572,2023-02-08,Credit Memo            ADJUSTMENT OTHER,3.75,Non-Routine
573,2023-02-10,Provincial Payment     CANADA                       ,60.58,Dining Out
574,2023-02-10,WITHDRAWAL             FREE INTERAC E-TRANSFER,-15.8,Shared Purchases
575,2023-02-13,WITHDRAWAL             FREE INTERAC E-TRANSFER,-8.72,Shared Purchases
578,2023-02-24,"Payroll Deposit        Icon HR Consultants Canada,CPT",354.73,Earnings
579,2023-02-27,WITHDRAWAL             FREE INTERAC E-TRANSFER,-5.0,Shared Purchases
580,2023-03-01,WITHDRAWAL             FREE INTERAC E-TRANSFER,-7.2,Shared Purchases
581,2023-03-03,"Payroll Deposit        Icon HR Consultants Canada,CPT",620.91,Earnings
582,2023-03-03,WITHDRAWAL             FREE INTERAC E-TRANSFER,-16.35,Shared Purchases
583,2023-03-06,WITHDRAWAL             FREE INTERAC E-TRANSFER,-25.0,Shared Purchases
584,2023-03-06,WITHDRAWAL             FREE INTERAC E-TRANSFER,-82.79,Shared Purchases
585,2023-03-06,WITHDRAWAL             FREE INTERAC E-TRANSFER,-200.0,Shared Purchases
586,2023-03-06,WITHDRAWAL             FREE INTERAC E-TRANSFER,-18.84,Shared Purchases
587,2023-03-07,WITHDRAWAL             FREE INTERAC E-TRANSFER,-26.4,Shared Purchases
588,2023-03-07,WITHDRAWAL             FREE INTERAC E-TRANSFER,-250.0,Shared Purchases
590,2023-03-08,WITHDRAWAL             FREE INTERAC E-TRANSFER,-13.95,Shared Purchases
591,2023-03-10,Provincial Payment     CANADA                       ,60.58,Dining Out
592,2023-03-10,"Payroll Deposit        Icon HR Consultants Canada,CPT",568.36,Earnings
593,2023-03-10,WITHDRAWAL             FREE INTERAC E-TRANSFER,-15.0,Shared Purchases
594,2023-03-13,WITHDRAWAL             FREE INTERAC E-TRANSFER,-10.0,Shared Purchases
596,2023-03-13,WITHDRAWAL             FREE INTERAC E-TRANSFER,-179.0,Shared Purchases
597,2023-03-14,DEPOSIT                FREE INTERAC E-TRANSFER,62.72,Shared Purchases
598,2023-03-15,Credit Memo            ADJUSTMENT OTHER,15.8,Non-Routine
599,2023-03-16,WITHDRAWAL             FREE INTERAC E-TRANSFER,-16.0,Shared Purchases
601,2023-03-17,"Payroll Deposit        Icon HR Consultants Canada,CPT",537.63,Earnings
602,2023-03-20,WITHDRAWAL             FREE INTERAC E-TRANSFER,-24.0,Shared Purchases
603,2023-03-20,WITHDRAWAL             FREE INTERAC E-TRANSFER,-9.6,Shared Purchases
604,2023-03-21,WITHDRAWAL             FREE INTERAC E-TRANSFER,-40.97,Shared Purchases
605,2023-03-23,WITHDRAWAL             FREE INTERAC E-TRANSFER,-15.0,Shared Purchases
606,2023-03-24,"Payroll Deposit        Icon HR Consultants Canada,CPT",568.36,Earnings
608,2023-03-25,WITHDRAWAL             FREE INTERAC E-TRANSFER,-5.0,Shared Purchases
609,2023-03-27,WITHDRAWAL             FREE INTERAC E-TRANSFER,-20.98,Shared Purchases
610,2023-03-27,WITHDRAWAL             FREE INTERAC E-TRANSFER,-60.15,Shared Purchases
611,2023-03-29,DEPOSIT                FREE INTERAC E-TRANSFER,25.0,Shared Purchases
612,2023-03-29,POS Purchase           OPOS UBER* EATS PENDING  UBER.,-33.79,Transportation
613,2023-03-29,Correction             OPOS UBER* EATS PENDING  UBER.,33.79,Transportation
614,2023-03-29,POS Purchase           OPOS UBER* EATS PENDING  UBER.,-32.79,Transportation
615,2023-03-29,POS Purchase           OPOS UBER* EATS          UBER.,-1.0,Transportation
616,2023-03-30,Federal Payment        CANADA                       ,500.0,Non-Routine
617,2023-03-31,"Payroll Deposit        Icon HR Consultants Canada,CPT",311.58,Earnings
618,2023-03-31,WITHDRAWAL             FREE INTERAC E-TRANSFER,-95.27,Shared Purchases
619,2023-03-31,POS Purchase           OPOS UBER CANADA         TORON,-1.02,Transportation
620,2023-03-31,Correction             OPOS UBER CANADA         TORON,1.02,Transportation
